,word,lemma1,lemma2,Sd15_Cosine,Sd15_CosRev0Score,Glo_Cosine,Glowca_CosRev0Score,location,episode,time,salience_1,salience_2,salience_3,salience_4,salience_13
51,injured,injure,sort,0.522737919172728,0.477262080827272,0.0682550889405381,0.931744911059462,John's Room,4,158,0,0,1,0,0
52,laps,lap,he,0.718523457494728,0.281476542505272,0.428739555103801,0.571260444896199,John's Room,4,160,0,0,0,0,0
53,spends,spend,day,0.893223447465494,0.106776552534506,0.669552843568025,0.330447156431975,John's Room,4,161,0,0,0,1,0
54,day,day,focus,0.866251870984767,0.133748129015233,0.544977362694081,0.455022637305919,John's Room,4,162,0,0,0,1,0
55,laptop,laptop,blog,0.785678806454148,0.214321193545852,0.232365164318492,0.767634835681508,John's Room,4,165,0,0,0,1,0
56,written,write,blog,0.727503620082955,0.272496379917045,0.624274008395022,0.375725991604978,John's Room,4,167,0,0,0,0,0
57,taking,take,his,0.634527318592441,0.365472681407559,0.730002746859126,0.269997253140874,John's Room,4,168,0,0,0,0,0
58,computer,computer,desk,0.666017733133416,0.333982266866584,0.489202384803537,0.510797615196463,John's Room,4,169,0,0,0,0,0
59,underneath,underneath,scene,0.687732057639353,0.312267942360647,0.307305773204481,0.692694226795519,John's Room,4,172,0,0,0,0,0
60,visible,visible,bedroom,0.761944912573918,0.238055087426082,0.207592158243076,0.792407841756924,John's Room,4,174,0,0,0,0,0
61,bedroom,bedroom,scene,0.832382449958654,0.167617550041346,0.448902601419335,0.551097398580665,John's Room,4,175,0,0,0,0,1
62,rectangular,rectangular,pretty,0.69035848752114,0.30964151247886,0.194364360928868,0.805635639071132,John's Room,4,177,0,0,0,0,1
63,nondescript,nondescript,therapist,0.744811581225698,0.255188418774302,0.0064505154892099,0.99354948451079,John's Room,4,179,0,0,0,0,0
64,therapist,therapist,he,0.880342268266564,0.119657731733436,0.278031852779709,0.721968147220291,Psychotherapist's Office,5,181,1,1,1,0,1
65,trust,trust,point,0.452129788412012,0.547870211587988,0.496437106821878,0.503562893178122,Psychotherapist's Office,5,182,1,0,0,1,0
66,point,point,we,0.875808762405126,0.124191237594874,0.787574264986191,0.212425735013809,Psychotherapist's Office,5,183,0,0,0,0,0
67,shortly,shortly,he,0.880098420254534,0.119901579745466,0.548314921042464,0.451685078957536,Psychotherapist's Office,5,184,0,0,0,0,0
68,office,office,therapist,0.728122321675921,0.271877678324079,0.300928782618784,0.699071217381216,Psychotherapist's Office,5,185,0,1,0,0,1
69,talking,talk,his,0.607411010038956,0.392588989961044,0.644936763735791,0.355063236264209,Psychotherapist's Office,5,187,0,0,0,0,0
70,mental,mental,health,0.871697739611896,0.128302260388104,0.653683497911428,0.346316502088572,Psychotherapist's Office,5,189,0,1,0,0,0
71,health,health,remember,0.717025535785616,0.282974464214384,0.410773836678027,0.589226163321973,Psychotherapist's Office,5,190,0,1,0,0,0
72,remember,remember,they,0.551928904115979,0.448071095884021,0.782572599010633,0.217427400989367,Psychotherapist's Office,5,191,0,0,0,0,0
73,talked,talk,she,0.587452614124671,0.412547385875329,0.728083469133717,0.271916530866283,Psychotherapist's Office,5,193,0,0,0,0,0
74,she,she,think,0.680086367476043,0.319913632523957,0.771657148490069,0.228342851509931,Psychotherapist's Office,5,194,0,0,0,0,0
75,thought,think,he,0.650080372729206,0.349919627270794,0.819743743193579,0.180256256806421,Psychotherapist's Office,5,195,0,0,0,0,0
76,things,thing,bite,0.781580215425705,0.218419784574295,0.43594950735932,0.56405049264068,Psychotherapist's Office,5,196,0,0,0,0,0
77,fuzzy,fuzzy,point,0.749844134111733,0.250155865888267,0.208979609484487,0.791020390515513,Psychotherapist's Office,5,198,0,0,0,0,0
78,woman,woman,she,0.843317656021005,0.156682343978995,0.834229971439639,0.165770028560361,Psychotherapist's Office,5,201,0,0,1,0,0
79,find,find,he,0.769417420734069,0.230582579265931,0.752226026365405,0.247773973634595,Psychotherapist's Office,5,206,0,0,0,0,0
80,start,start,talk,0.758216146754987,0.241783853245013,0.707619992736949,0.292380007263051,Psychotherapist's Office,5,209,0,0,0,0,0
81,tells,tell,him,0.736357748389967,0.263642251610033,0.820497170856193,0.179502829143807,Psychotherapist's Office,5,211,0,0,0,0,0
82,write,write,write,1,-2.22044604925031E-16,1,0,Psychotherapist's Office,5,212,0,0,1,0,0
83,experiences,experience,story,0.533664883751945,0.466335116248055,0.631138474937775,0.368861525062225,Psychotherapist's Office,5,213,0,0,0,0,0
84,story,story,he,0.763738983437658,0.236261016562342,0.67607682908431,0.32392317091569,Psychotherapist's Office,5,214,0,0,1,0,0
85,them,them,jump,0.750956765151405,0.249043234848595,0.496163793184821,0.503836206815178,Psychotherapist's Office,5,215,0,0,0,0,0
86,couch,couch,chair,0.972992603816603,0.0270073961833971,0.659584701380815,0.340415298619185,Psychotherapist's Office,5,216,0,0,0,1,0
87,chair,chair,talk,0.375623104471284,0.624376895528716,0.438001007990521,0.561998992009479,Psychotherapist's Office,5,217,0,0,0,0,0
88,psychiatrist,psychiatrist,psychiatrist,1,-2.22044604925031E-16,1,2.22044604925031E-16,Psychotherapist's Office,5,219,0,0,0,1,1
89,psychiatrists,psychiatrist,ask,0.679337180062261,0.320662819937739,0.319128080007769,0.680871919992231,Psychotherapist's Office,5,220,0,0,0,0,0
90,asks,ask,him,0.71899268872352,0.28100731127648,0.746117454899581,0.253882545100419,Psychotherapist's Office,5,221,0,0,0,0,0
91,berates,berate,him,0.607330780015086,0.392669219984914,0.0968821987318231,0.903117801268177,Psychotherapist's Office,5,223,0,0,0,0,0
92,situation,situation,bite,0.700601935100345,0.299398064899655,0.210810853380323,0.789189146619677,Psychotherapist's Office,5,224,0,0,0,0,0
93,confrontation,confrontation,trust,-0.339013275944735,1.33901327594474,0.162377069894854,0.837622930105146,Psychotherapist's Office,5,225,0,0,0,1,0
94,issues,issue,them,0.771198594667314,0.228801405332686,0.590076576866275,0.409923423133725,Psychotherapist's Office,5,227,0,0,0,1,0
95,switches,switch,psychiatrist,0.607616331757137,0.392383668242863,-0.0067493612370659,1.00674936123707,Psychotherapist's Office,5,229,0,0,0,0,1
96,therapists,therapist,office,0.728122321675921,0.271877678324079,0.300928782618784,0.699071217381216,Psychotherapist's Office,5,231,0,0,0,0,1
97,suggests,suggest,him,0.627455622784886,0.372544377215114,0.494610620296558,0.505389379703442,Psychotherapist's Office,5,236,0,0,0,0,0
98,your,your,blog,0.674342577562705,0.325657422437295,0.591164991997394,0.408835008002606,Psychotherapist's Office,5,237,0,0,0,0,0
99,haven,haven,write,0.634947141396744,0.365052858603256,0.186310964360249,0.813689035639751,Psychotherapist's Office,5,238,0,0,0,0,0
100,wrote,write,trust,0.218610886647967,0.781389113352033,0.451711273909022,0.548288726090978,Psychotherapist's Office,5,240,0,0,0,0,0
101,reading,read,my,0.636059426113018,0.363940573886982,0.708661184421663,0.291338815578337,Psychotherapist's Office,5,243,0,0,0,0,0
102,my,my,write,0.858507699895232,0.141492300104768,0.627543456652799,0.372456543347201,Psychotherapist's Office,5,244,0,0,0,0,0
103,writing,write,upside,0.637392009639012,0.362607990360988,0.181594092117158,0.818405907882842,Psychotherapist's Office,5,245,0,0,0,0,0
104,upside,upside,my,0.692039955480876,0.307960044519124,0.355900295694145,0.644099704305855,Psychotherapist's Office,5,246,0,0,0,0,0
105,paper,paper,he,0.766769249492838,0.233230750507162,0.522999231374271,0.477000768625729,Psychotherapist's Office,5,247,0,0,0,0,1
106,notepad,notepad,he,0.566895213420585,0.433104786579415,0.101223205379207,0.898776794620793,Psychotherapist's Office,5,248,0,0,0,0,1
