,swamp,beach,bay,centre,stadium,zoo,garage,meadow,boulevard,river,intersection,lane,cinema,venue,suburb,territory,hill,store,square,mall,factory,museum,lot,cavern,cave,region,savanna,club,pond,nation,driveway,highway,pub,arena,hospital,road,garden,gallery,desert,shop,waterfall,library,valley,field,state,marsh,restaurant,coast,campus,country,county,port,alley,province,spring,bog,station,street,office,prairie,site,aquarium,jungle,metropolis,district,theater,playground,parking,neighborhood,quarry,harbor,woods,apartment,village,reservoir,residence,creek,park,gym,plaza,stream,cafe,avenue,pier,warehouse,lake,mine,well,market,bar,tundra,plain,municipality,headquarters,forest,wetland,dock,town,mountain,city,shore,building
jungle,0.67981195,0.6236278,0.43441856,0.23786257,0.109326154,0.25863963,0.289296,0.409915,0.2656137,0.46072194,0.22843216,0.18760027,0.21137406,0.17310816,0.26042,0.4738474,0.34365463,0.23356763,0.23571695,0.2615124,0.26708812,0.19811086,0.2797568,0.25437152,0.529686,0.47233793,0.53391063,0.19587325,0.36253613,0.36862513,0.26426306,0.34113744,0.22002615,-0.009980046,0.23626606,0.38175455,0.38677981,0.053412482,0.84315777,0.2953082,0.33736753,0.15832779,0.5381353,0.27255696,0.21895821,0.30981117,0.2839234,0.6134648,0.27852005,0.43938896,0.22195287,0.36284134,0.38462773,0.4322213,0.3972207,0.40918174,0.23563649,0.26709443,0.19611414,0.5678984,0.42465737,0.23761967,0.99999994,0.30759633,0.22025126,0.17801379,0.4739708,0.19673623,0.396605,0.33422834,0.35463247,0.44489154,0.31095466,0.46741095,0.27972633,0.2682873,0.47350985,0.37855813,0.25750393,0.23560113,0.44651017,0.36517876,0.21902633,0.15858243,0.29252854,0.33835274,0.4144594,0.3816325,0.17256232,0.19652337,0.40185225,0.46723655,0.1422461,0.3026568,0.6020763,0.30212194,0.20865045,0.47624573,0.6809897,0.352407,0.4722764,0.2734418
metropolis,0.27568537,0.29989535,0.23166329,0.45777944,0.29321817,0.33674654,0.28771245,0.14225322,0.39854568,0.310477,0.3841861,0.113834724,0.67896944,0.36801162,0.5072429,0.34500405,0.072921425,0.34680444,0.38814914,0.53977555,0.4056999,0.49187762,0.21303573,0.2342768,0.2743881,0.5258033,0.0729322,0.27054068,0.20308083,0.46515054,-0.036733225,0.34135085,0.38594723,0.37833375,0.20683247,0.31587696,0.32281384,0.3981041,0.3134773,0.34670737,0.33914033,0.33225787,0.35391614,0.08990999,0.30578527,-0.053494714,0.4544095,0.40416324,0.40785924,0.45267722,0.24544288,0.40910578,0.34047648,0.5340028,0.17298427,-0.077962324,0.4328289,0.42118385,0.26438814,0.2740197,0.3479587,0.29722977,0.30759633,1.0,0.40743238,0.5347477,0.37783796,0.20832632,0.560477,0.11190465,0.35601634,-0.06888614,0.35663527,0.53837264,0.28428087,0.21157056,0.16274157,0.33405045,0.1979476,0.46601814,0.27672404,0.47839323,0.38188472,0.37414175,0.39021403,0.229286,0.29392916,0.30753794,0.4210924,0.18511151,0.16368812,0.29384622,0.48962024,0.366048,0.24880667,0.24439766,0.07233413,0.50590897,0.27382854,0.6264352,0.35858575,0.41371372
district,0.16470627,0.45977247,0.38280126,0.5117902,0.32587835,0.24140699,0.2268297,0.29383427,0.45155567,0.45639423,0.5522309,0.43577534,0.30191842,0.4036477,0.60167396,0.51242477,0.49508145,0.4094352,0.46477413,0.49988815,0.3985714,0.39674175,0.28370792,-0.064037524,0.25854656,0.55059,0.050879735,0.32964897,0.21150112,0.40172794,0.13983473,0.5777127,0.2859237,0.23061329,0.49286813,0.5603677,0.2925154,0.34092957,0.28903407,0.35430047,0.2047587,0.43487072,0.54214144,0.32551566,0.7311193,0.18912368,0.43153068,0.4196469,0.5442146,0.46582872,0.84486914,0.43527785,0.40792775,0.71059847,0.3165729,0.012724645,0.46554592,0.5284731,0.6226768,0.3914464,0.43152058,0.039479237,0.22025126,0.40743238,1.0,0.38047144,0.24590361,0.36884424,0.63299376,0.2934851,0.27911454,0.26047087,0.42587754,0.74239177,0.31531325,0.48726636,0.41479954,0.5244267,0.23593187,0.39396235,0.24627848,0.2892997,0.58094037,0.24562132,0.38814044,0.41459695,0.38892224,0.44468525,0.29713354,0.479511,-0.06253968,0.3808945,0.68562275,0.5911403,0.4157589,0.23055287,0.18348311,0.7158556,0.36356467,0.7132887,0.4240037,0.47685385
theater,-0.0025424857,0.41092354,0.2935915,0.4546529,0.41848797,0.2814242,0.49707365,0.10011114,0.45362073,0.16305141,0.285547,0.30773792,0.79118955,0.5931911,0.40123135,0.1962094,0.36762452,0.46702158,0.52459794,0.5315152,0.42159528,0.65152025,0.42521363,0.20260794,0.2670267,0.23338313,-0.17423029,0.39770544,0.17559925,0.31689432,0.06332807,0.19048657,0.409479,0.5729084,0.34338173,0.2726737,0.48998165,0.7060663,0.24279784,0.47665656,0.11209477,0.54739237,0.2837447,0.34090447,0.2784025,0.035905935,0.5877588,0.28871226,0.5091117,0.37021407,0.21331541,0.28534222,0.49878547,0.16842362,0.37086543,-0.24952497,0.5365953,0.5345762,0.4295584,0.19989967,0.3961534,0.28687382,0.17801379,0.5347477,0.38047144,0.99999994,0.41723496,0.34834242,0.50565445,0.16867656,0.43031636,0.17627849,0.521453,0.37493196,0.17266694,0.41585892,0.11522158,0.41854364,0.49356237,0.5028413,0.22838165,0.55228704,0.48170245,0.35530612,0.41096312,0.24674875,0.25590506,0.5093163,0.33164603,0.42414474,-0.08994831,0.16168492,0.18093741,0.50036484,0.09488028,-0.013906819,0.24646188,0.4357941,0.23194756,0.5742037,0.42157552,0.597234
playground,0.41535202,0.63695323,0.33294246,0.4769115,0.4632701,0.41670385,0.6299748,0.48626056,0.38461593,0.19931406,0.31174222,0.47680146,0.39046153,0.5654671,0.41636792,0.093418784,0.38886455,0.42217773,0.3666134,0.612238,0.36998188,0.44667047,0.4740786,0.44150704,0.43822074,0.11421035,0.23299187,0.38651168,0.49677512,0.22033432,0.46690542,0.27209637,0.5143444,0.44081244,0.30140343,0.50985324,0.67353684,0.44850397,0.46686056,0.5632592,0.44479978,0.43672693,0.35624978,0.35444123,0.20793608,0.20314524,0.46219978,0.21685666,0.64617044,0.30392998,0.22458501,0.24146654,0.6176855,0.09050658,0.38925683,0.2526854,0.35134408,0.3523626,0.25892645,0.42781556,0.4651593,0.45337552,0.4739708,0.37783796,0.24590361,0.41723496,1.0,0.62628233,0.542768,0.3742913,0.31721333,0.3716211,0.507053,0.41761184,0.31898126,0.41729924,0.29941437,0.6270309,0.7434387,0.43222487,0.28372896,0.47939754,0.3839263,0.30225694,0.4194303,0.3313714,0.28319302,0.37182248,0.19725858,0.42232734,0.16840011,0.39455146,0.06737344,0.20553459,0.48749125,0.32284892,0.34159938,0.40534183,0.47723952,0.44062132,0.31552473,0.4807274
parking,0.18653803,0.51304084,0.36408728,0.44271293,0.48958647,0.24804398,0.69276226,0.31809163,0.46239036,0.25747335,0.5187209,0.6119203,0.21238708,0.5376545,0.46777877,0.2295987,0.40717965,0.61786693,0.56452703,0.6966767,0.4515287,0.3510932,0.5224674,0.30968735,0.25764304,0.16740388,-0.028814608,0.33007836,0.38882855,0.20351598,0.6408462,0.5230693,0.49745995,0.4734925,0.4045321,0.6074132,0.5003731,0.39383748,0.22490165,0.61513275,0.3327236,0.40334547,0.3287234,0.395899,0.34205544,0.1566093,0.55301267,0.25588402,0.5510032,0.32373363,0.33487788,0.45476806,0.4302067,0.1395832,0.3814191,0.08042729,0.58440214,0.5141214,0.55073273,0.18980728,0.5624058,0.27303526,0.19673623,0.20832632,0.36884424,0.34834242,0.62628233,0.99999994,0.59425646,0.32767764,0.38152748,0.22090325,0.6722446,0.41561437,0.39117715,0.5145627,0.31417277,0.5433119,0.57884413,0.55014056,0.43155396,0.47101894,0.4915615,0.41528168,0.6394729,0.40950835,0.3228005,0.4042321,0.3592233,0.52406806,0.12186831,0.35405985,0.2554677,0.4425324,0.3365251,0.23120424,0.56347775,0.489424,0.35113573,0.5355329,0.40385878,0.63038
neighborhood,0.27860016,0.54043776,0.4415432,0.5472789,0.3615785,0.38284308,0.5589364,0.3677807,0.573726,0.35321516,0.6170405,0.46352756,0.37699696,0.4467476,0.83469087,0.44351062,0.50193715,0.5951533,0.5308218,0.7787273,0.4552384,0.4504226,0.48090264,0.18886726,0.36089158,0.48398733,0.1087918,0.35882473,0.28952104,0.4193486,0.41202867,0.48349327,0.5245405,0.38431996,0.52174544,0.5893717,0.49868628,0.414896,0.42450786,0.6021431,0.18782546,0.38702184,0.5748603,0.29867864,0.46253857,0.15863979,0.6574617,0.3970021,0.66383827,0.49667218,0.490495,0.43701524,0.53295857,0.5014641,0.35868576,0.054371268,0.5324194,0.65725106,0.5034951,0.4567814,0.5347285,0.2290243,0.396605,0.560477,0.63299376,0.50565445,0.542768,0.59425646,1.0,0.33465484,0.43973142,0.2549523,0.7179299,0.7508933,0.21131758,0.5597551,0.41163075,0.547397,0.40149766,0.61652476,0.33117065,0.64115083,0.6368933,0.3242356,0.59074163,0.33945855,0.315015,0.46279758,0.40773243,0.48985308,0.01659239,0.44707283,0.49073926,0.5823098,0.42627838,0.202568,0.23379509,0.7857275,0.46069956,0.7839683,0.4933928,0.6332879
quarry,0.4372672,0.3552662,0.37391767,0.24353735,0.23736101,0.20148109,0.56140834,0.47413024,0.27791464,0.49584264,0.2364691,0.42025724,0.06414551,0.24182978,0.30733928,0.24229923,0.57246935,0.34972036,0.2907703,0.3692333,0.43621114,0.3380586,0.12710315,0.65132535,0.7095072,0.105407216,0.16962,0.22738436,0.66269094,-0.020008784,0.4683144,0.25096464,0.3378627,0.117575295,0.17988463,0.4255802,0.4507992,0.37628058,0.35552785,0.37306374,0.46049318,0.28456333,0.5145034,0.29572704,0.1389696,0.43633693,0.29428852,0.20674092,0.2697796,0.095260486,0.33864686,0.2139752,0.4661103,0.15042415,0.2448573,0.49212873,0.3691494,0.32571855,0.136876,0.43241328,0.48630938,0.31753778,0.33422834,0.11190465,0.2934851,0.16867656,0.3742913,0.32767764,0.33465484,1.0000001,0.287058,0.41221377,0.40365785,0.46407503,0.5691544,0.32067698,0.6371387,0.5008292,0.13202423,0.30450782,0.3955979,0.3162106,0.3289647,0.33397892,0.4955901,0.47487992,0.6348737,0.20351921,0.14223996,0.25470316,0.18506749,0.33354604,0.26822457,0.22537988,0.48124313,0.35702473,0.47583526,0.40741837,0.49441776,0.2372874,0.41200495,0.47832936
harbor,0.3430416,0.57524353,0.7709524,0.38774842,0.31743917,0.44279855,0.2586834,0.37742615,0.42193767,0.5605486,0.39414725,0.42211825,0.2018407,0.34981558,0.5071164,0.44811726,0.43900385,0.32768497,0.29424334,0.4731085,0.33195463,0.5137041,0.28971168,0.20400783,0.42105561,0.37795976,0.0839147,0.2931337,0.49632844,0.329075,0.2301229,0.50949824,0.18649319,0.29711834,0.4359367,0.53172415,0.49107066,0.36170676,0.4837045,0.31420743,0.26366708,0.26648685,0.39639813,0.33565778,0.36145777,0.32081315,0.3945474,0.6581836,0.3702324,0.32355133,0.39556593,0.7054878,0.29894966,0.31757277,0.45543694,0.137283,0.58838284,0.4596947,0.34738046,0.42896417,0.46942538,0.5519419,0.35463247,0.35601634,0.27911454,0.43031636,0.31721333,0.38152748,0.43973142,0.287058,1.0,0.23888546,0.4293795,0.40326995,0.45880866,0.38331908,0.46515286,0.5705693,0.1915819,0.45366427,0.3626294,0.31872144,0.48050526,0.5599572,0.3863237,0.61837685,0.51536787,0.38052556,0.29660955,0.33143064,0.10853971,0.33717746,0.19833605,0.44880685,0.4459619,0.33636627,0.6102019,0.5208362,0.44879025,0.62090266,0.7742633,0.50965285
woods,0.3953317,0.5905334,0.4221069,0.2705401,0.3697951,0.21295547,0.32289305,0.5086005,0.21403474,0.3829754,0.21563861,0.48502848,0.025890471,0.31826484,0.23599152,0.2719417,0.7381115,0.25151268,0.2823184,0.24893732,0.20986629,0.24977441,0.59683985,0.19776681,0.46405795,0.22654194,0.24641381,0.44868654,0.48326898,0.307528,0.4023155,0.2713064,0.20141207,0.25188446,0.3097375,0.55104625,0.46899492,0.26518017,0.4760913,0.29058707,0.27744797,0.18565072,0.47764388,0.5117165,0.30089182,0.5227877,0.25400195,0.37559295,0.3044929,0.39032707,0.3219935,0.134962,0.33122873,0.13899791,0.4800376,0.3875568,0.17597769,0.38453496,0.26442325,0.41930825,0.41908988,0.19687305,0.44489154,-0.06888614,0.26047087,0.17627849,0.3716211,0.22090325,0.2549523,0.41221377,0.23888546,1.0,0.29476574,0.3374034,0.19077076,0.21345828,0.45494407,0.59528786,0.29687157,0.16559857,0.23654386,0.18737915,0.32752758,0.2150329,0.12246891,0.45634076,0.39047876,0.5137855,0.28850257,0.2346547,0.20882477,0.37351593,0.016650869,0.22897942,0.51664865,0.13870746,0.21692938,0.40622988,0.5904318,0.28319106,0.45747715,0.33882734
